,COCYR
190,"Did not use in the past year (IRCOCRC = 3,9)"
191,"Did not use in the past year (IRCOCRC = 3,9)"
192,"Did not use in the past year (IRCOCRC = 3,9)"
193,"Did not use in the past year (IRCOCRC = 3,9)"
194,"Did not use in the past year (IRCOCRC = 3,9)"
195,"Did not use in the past year (IRCOCRC = 3,9)"
196,"Did not use in the past year (IRCOCRC = 3,9)"
197,"Did not use in the past year (IRCOCRC = 3,9)"
198,"Did not use in the past year (IRCOCRC = 3,9)"
199,"Did not use in the past year (IRCOCRC = 3,9)"
200,"Did not use in the past year (IRCOCRC = 3,9)"
201,"Did not use in the past year (IRCOCRC = 3,9)"
202,"Did not use in the past year (IRCOCRC = 3,9)"
203,"Did not use in the past year (IRCOCRC = 3,9)"
204,"Did not use in the past year (IRCOCRC = 3,9)"
205,"Did not use in the past year (IRCOCRC = 3,9)"
206,"Did not use in the past year (IRCOCRC = 3,9)"
207,"Did not use in the past year (IRCOCRC = 3,9)"
208,"Did not use in the past year (IRCOCRC = 3,9)"
209,"Did not use in the past year (IRCOCRC = 3,9)"
210,"Did not use in the past year (IRCOCRC = 3,9)"
211,"Did not use in the past year (IRCOCRC = 3,9)"
212,"Did not use in the past year (IRCOCRC = 3,9)"
213,"Did not use in the past year (IRCOCRC = 3,9)"
214,"Did not use in the past year (IRCOCRC = 3,9)"
215,"Did not use in the past year (IRCOCRC = 3,9)"
216,"Did not use in the past year (IRCOCRC = 3,9)"
217,"Did not use in the past year (IRCOCRC = 3,9)"
218,"Did not use in the past year (IRCOCRC = 3,9)"
219,"Did not use in the past year (IRCOCRC = 3,9)"
220,"Did not use in the past year (IRCOCRC = 3,9)"
221,"Did not use in the past year (IRCOCRC = 3,9)"
222,"Did not use in the past year (IRCOCRC = 3,9)"
223,"Did not use in the past year (IRCOCRC = 3,9)"
224,"Did not use in the past year (IRCOCRC = 3,9)"
225,"Did not use in the past year (IRCOCRC = 3,9)"
226,"Did not use in the past year (IRCOCRC = 3,9)"
227,"Did not use in the past year (IRCOCRC = 3,9)"
228,"Used within the past year (IRCOCRC = 1,2)"
229,"Did not use in the past year (IRCOCRC = 3,9)"
230,"Did not use in the past year (IRCOCRC = 3,9)"
231,"Did not use in the past year (IRCOCRC = 3,9)"
232,"Did not use in the past year (IRCOCRC = 3,9)"
233,"Did not use in the past year (IRCOCRC = 3,9)"
234,"Did not use in the past year (IRCOCRC = 3,9)"
235,"Did not use in the past year (IRCOCRC = 3,9)"
236,"Did not use in the past year (IRCOCRC = 3,9)"
237,"Did not use in the past year (IRCOCRC = 3,9)"
238,"Did not use in the past year (IRCOCRC = 3,9)"
239,"Did not use in the past year (IRCOCRC = 3,9)"
240,"Did not use in the past year (IRCOCRC = 3,9)"
241,"Did not use in the past year (IRCOCRC = 3,9)"
242,"Did not use in the past year (IRCOCRC = 3,9)"
243,"Did not use in the past year (IRCOCRC = 3,9)"
244,"Did not use in the past year (IRCOCRC = 3,9)"
245,"Did not use in the past year (IRCOCRC = 3,9)"
246,"Did not use in the past year (IRCOCRC = 3,9)"
247,"Did not use in the past year (IRCOCRC = 3,9)"
248,"Did not use in the past year (IRCOCRC = 3,9)"
249,"Did not use in the past year (IRCOCRC = 3,9)"
250,"Did not use in the past year (IRCOCRC = 3,9)"
251,"Used within the past year (IRCOCRC = 1,2)"
252,"Did not use in the past year (IRCOCRC = 3,9)"
253,"Did not use in the past year (IRCOCRC = 3,9)"
254,"Did not use in the past year (IRCOCRC = 3,9)"
255,"Did not use in the past year (IRCOCRC = 3,9)"
256,"Did not use in the past year (IRCOCRC = 3,9)"
257,"Did not use in the past year (IRCOCRC = 3,9)"
258,"Did not use in the past year (IRCOCRC = 3,9)"
259,"Did not use in the past year (IRCOCRC = 3,9)"
260,"Did not use in the past year (IRCOCRC = 3,9)"
261,"Did not use in the past year (IRCOCRC = 3,9)"
262,"Did not use in the past year (IRCOCRC = 3,9)"
263,"Did not use in the past year (IRCOCRC = 3,9)"
264,"Did not use in the past year (IRCOCRC = 3,9)"
265,"Did not use in the past year (IRCOCRC = 3,9)"
266,"Did not use in the past year (IRCOCRC = 3,9)"
267,"Did not use in the past year (IRCOCRC = 3,9)"
268,"Did not use in the past year (IRCOCRC = 3,9)"
269,"Did not use in the past year (IRCOCRC = 3,9)"
270,"Did not use in the past year (IRCOCRC = 3,9)"
271,"Did not use in the past year (IRCOCRC = 3,9)"
272,"Did not use in the past year (IRCOCRC = 3,9)"
273,"Did not use in the past year (IRCOCRC = 3,9)"
274,"Did not use in the past year (IRCOCRC = 3,9)"
275,"Did not use in the past year (IRCOCRC = 3,9)"
276,"Did not use in the past year (IRCOCRC = 3,9)"
277,"Did not use in the past year (IRCOCRC = 3,9)"
278,"Did not use in the past year (IRCOCRC = 3,9)"
279,"Did not use in the past year (IRCOCRC = 3,9)"
280,"Did not use in the past year (IRCOCRC = 3,9)"
281,"Did not use in the past year (IRCOCRC = 3,9)"
282,"Did not use in the past year (IRCOCRC = 3,9)"
283,"Did not use in the past year (IRCOCRC = 3,9)"
284,"Did not use in the past year (IRCOCRC = 3,9)"
285,"Did not use in the past year (IRCOCRC = 3,9)"
286,"Did not use in the past year (IRCOCRC = 3,9)"
287,"Did not use in the past year (IRCOCRC = 3,9)"
288,"Did not use in the past year (IRCOCRC = 3,9)"
289,"Did not use in the past year (IRCOCRC = 3,9)"
290,"Did not use in the past year (IRCOCRC = 3,9)"
291,"Did not use in the past year (IRCOCRC = 3,9)"
292,"Did not use in the past year (IRCOCRC = 3,9)"
293,"Did not use in the past year (IRCOCRC = 3,9)"
294,"Did not use in the past year (IRCOCRC = 3,9)"
295,"Did not use in the past year (IRCOCRC = 3,9)"
296,"Did not use in the past year (IRCOCRC = 3,9)"
297,"Did not use in the past year (IRCOCRC = 3,9)"
298,"Did not use in the past year (IRCOCRC = 3,9)"
299,"Did not use in the past year (IRCOCRC = 3,9)"
300,"Did not use in the past year (IRCOCRC = 3,9)"
301,"Did not use in the past year (IRCOCRC = 3,9)"
302,"Did not use in the past year (IRCOCRC = 3,9)"
303,"Did not use in the past year (IRCOCRC = 3,9)"
304,"Did not use in the past year (IRCOCRC = 3,9)"
305,"Did not use in the past year (IRCOCRC = 3,9)"
306,"Did not use in the past year (IRCOCRC = 3,9)"
307,"Did not use in the past year (IRCOCRC = 3,9)"
308,"Did not use in the past year (IRCOCRC = 3,9)"
309,"Did not use in the past year (IRCOCRC = 3,9)"
310,"Did not use in the past year (IRCOCRC = 3,9)"
311,"Did not use in the past year (IRCOCRC = 3,9)"
312,"Did not use in the past year (IRCOCRC = 3,9)"
313,"Did not use in the past year (IRCOCRC = 3,9)"
314,"Did not use in the past year (IRCOCRC = 3,9)"
315,"Did not use in the past year (IRCOCRC = 3,9)"
316,"Did not use in the past year (IRCOCRC = 3,9)"
317,"Did not use in the past year (IRCOCRC = 3,9)"
318,"Did not use in the past year (IRCOCRC = 3,9)"
319,"Did not use in the past year (IRCOCRC = 3,9)"
320,"Did not use in the past year (IRCOCRC = 3,9)"
321,"Did not use in the past year (IRCOCRC = 3,9)"
322,"Did not use in the past year (IRCOCRC = 3,9)"
323,"Did not use in the past year (IRCOCRC = 3,9)"
324,"Did not use in the past year (IRCOCRC = 3,9)"
325,"Did not use in the past year (IRCOCRC = 3,9)"
326,"Did not use in the past year (IRCOCRC = 3,9)"
327,"Did not use in the past year (IRCOCRC = 3,9)"
328,"Did not use in the past year (IRCOCRC = 3,9)"
329,"Did not use in the past year (IRCOCRC = 3,9)"
330,"Did not use in the past year (IRCOCRC = 3,9)"
331,"Did not use in the past year (IRCOCRC = 3,9)"
332,"Did not use in the past year (IRCOCRC = 3,9)"
333,"Did not use in the past year (IRCOCRC = 3,9)"
334,"Did not use in the past year (IRCOCRC = 3,9)"
335,"Did not use in the past year (IRCOCRC = 3,9)"
336,"Did not use in the past year (IRCOCRC = 3,9)"
337,"Did not use in the past year (IRCOCRC = 3,9)"
338,"Did not use in the past year (IRCOCRC = 3,9)"
339,"Did not use in the past year (IRCOCRC = 3,9)"
340,"Did not use in the past year (IRCOCRC = 3,9)"
341,"Did not use in the past year (IRCOCRC = 3,9)"
342,"Did not use in the past year (IRCOCRC = 3,9)"
343,"Did not use in the past year (IRCOCRC = 3,9)"
344,"Did not use in the past year (IRCOCRC = 3,9)"
345,"Did not use in the past year (IRCOCRC = 3,9)"
346,"Did not use in the past year (IRCOCRC = 3,9)"
347,"Did not use in the past year (IRCOCRC = 3,9)"
348,"Did not use in the past year (IRCOCRC = 3,9)"
349,"Did not use in the past year (IRCOCRC = 3,9)"
350,"Did not use in the past year (IRCOCRC = 3,9)"
351,"Did not use in the past year (IRCOCRC = 3,9)"
352,"Did not use in the past year (IRCOCRC = 3,9)"
353,"Did not use in the past year (IRCOCRC = 3,9)"
354,"Did not use in the past year (IRCOCRC = 3,9)"
355,"Did not use in the past year (IRCOCRC = 3,9)"
356,"Did not use in the past year (IRCOCRC = 3,9)"
357,"Did not use in the past year (IRCOCRC = 3,9)"
358,"Did not use in the past year (IRCOCRC = 3,9)"
359,"Did not use in the past year (IRCOCRC = 3,9)"
360,"Did not use in the past year (IRCOCRC = 3,9)"
361,"Did not use in the past year (IRCOCRC = 3,9)"
362,"Did not use in the past year (IRCOCRC = 3,9)"
363,"Did not use in the past year (IRCOCRC = 3,9)"
364,"Did not use in the past year (IRCOCRC = 3,9)"
365,"Did not use in the past year (IRCOCRC = 3,9)"
366,"Did not use in the past year (IRCOCRC = 3,9)"
367,"Did not use in the past year (IRCOCRC = 3,9)"
368,"Did not use in the past year (IRCOCRC = 3,9)"
369,"Did not use in the past year (IRCOCRC = 3,9)"
370,"Did not use in the past year (IRCOCRC = 3,9)"
371,"Did not use in the past year (IRCOCRC = 3,9)"
372,"Did not use in the past year (IRCOCRC = 3,9)"
373,"Used within the past year (IRCOCRC = 1,2)"
374,"Did not use in the past year (IRCOCRC = 3,9)"
375,"Did not use in the past year (IRCOCRC = 3,9)"
376,"Did not use in the past year (IRCOCRC = 3,9)"
377,"Did not use in the past year (IRCOCRC = 3,9)"
378,"Did not use in the past year (IRCOCRC = 3,9)"
379,"Did not use in the past year (IRCOCRC = 3,9)"
380,"Did not use in the past year (IRCOCRC = 3,9)"
381,"Did not use in the past year (IRCOCRC = 3,9)"
382,"Did not use in the past year (IRCOCRC = 3,9)"
383,"Did not use in the past year (IRCOCRC = 3,9)"
384,"Did not use in the past year (IRCOCRC = 3,9)"
