,COCYR
25480,"Did not use in the past year (IRCOCRC = 3,9)"
25481,"Did not use in the past year (IRCOCRC = 3,9)"
25482,"Did not use in the past year (IRCOCRC = 3,9)"
25483,"Did not use in the past year (IRCOCRC = 3,9)"
25484,"Did not use in the past year (IRCOCRC = 3,9)"
25485,"Did not use in the past year (IRCOCRC = 3,9)"
25486,"Did not use in the past year (IRCOCRC = 3,9)"
25487,"Did not use in the past year (IRCOCRC = 3,9)"
25488,"Did not use in the past year (IRCOCRC = 3,9)"
25489,"Did not use in the past year (IRCOCRC = 3,9)"
25490,"Did not use in the past year (IRCOCRC = 3,9)"
25491,"Did not use in the past year (IRCOCRC = 3,9)"
25492,"Did not use in the past year (IRCOCRC = 3,9)"
25493,"Did not use in the past year (IRCOCRC = 3,9)"
25494,"Did not use in the past year (IRCOCRC = 3,9)"
25495,"Did not use in the past year (IRCOCRC = 3,9)"
25496,"Did not use in the past year (IRCOCRC = 3,9)"
25497,"Did not use in the past year (IRCOCRC = 3,9)"
25498,"Did not use in the past year (IRCOCRC = 3,9)"
25499,"Did not use in the past year (IRCOCRC = 3,9)"
25500,"Did not use in the past year (IRCOCRC = 3,9)"
25501,"Did not use in the past year (IRCOCRC = 3,9)"
25502,"Did not use in the past year (IRCOCRC = 3,9)"
25503,"Did not use in the past year (IRCOCRC = 3,9)"
25504,"Did not use in the past year (IRCOCRC = 3,9)"
25505,"Did not use in the past year (IRCOCRC = 3,9)"
25506,"Did not use in the past year (IRCOCRC = 3,9)"
25507,"Did not use in the past year (IRCOCRC = 3,9)"
25508,"Did not use in the past year (IRCOCRC = 3,9)"
25509,"Did not use in the past year (IRCOCRC = 3,9)"
25510,"Did not use in the past year (IRCOCRC = 3,9)"
25511,"Did not use in the past year (IRCOCRC = 3,9)"
25512,"Did not use in the past year (IRCOCRC = 3,9)"
25513,"Did not use in the past year (IRCOCRC = 3,9)"
25514,"Did not use in the past year (IRCOCRC = 3,9)"
25515,"Did not use in the past year (IRCOCRC = 3,9)"
25516,"Did not use in the past year (IRCOCRC = 3,9)"
25517,"Did not use in the past year (IRCOCRC = 3,9)"
25518,"Did not use in the past year (IRCOCRC = 3,9)"
25519,"Did not use in the past year (IRCOCRC = 3,9)"
25520,"Did not use in the past year (IRCOCRC = 3,9)"
25521,"Did not use in the past year (IRCOCRC = 3,9)"
25522,"Did not use in the past year (IRCOCRC = 3,9)"
25523,"Did not use in the past year (IRCOCRC = 3,9)"
25524,"Did not use in the past year (IRCOCRC = 3,9)"
25525,"Used within the past year (IRCOCRC = 1,2)"
25526,"Did not use in the past year (IRCOCRC = 3,9)"
25527,"Did not use in the past year (IRCOCRC = 3,9)"
25528,"Did not use in the past year (IRCOCRC = 3,9)"
25529,"Did not use in the past year (IRCOCRC = 3,9)"
25530,"Did not use in the past year (IRCOCRC = 3,9)"
25531,"Did not use in the past year (IRCOCRC = 3,9)"
25532,"Did not use in the past year (IRCOCRC = 3,9)"
25533,"Used within the past year (IRCOCRC = 1,2)"
25534,"Did not use in the past year (IRCOCRC = 3,9)"
25535,"Did not use in the past year (IRCOCRC = 3,9)"
25536,"Did not use in the past year (IRCOCRC = 3,9)"
25537,"Did not use in the past year (IRCOCRC = 3,9)"
25538,"Did not use in the past year (IRCOCRC = 3,9)"
25539,"Did not use in the past year (IRCOCRC = 3,9)"
25540,"Did not use in the past year (IRCOCRC = 3,9)"
25541,"Did not use in the past year (IRCOCRC = 3,9)"
25542,"Did not use in the past year (IRCOCRC = 3,9)"
25543,"Did not use in the past year (IRCOCRC = 3,9)"
25544,"Did not use in the past year (IRCOCRC = 3,9)"
25545,"Did not use in the past year (IRCOCRC = 3,9)"
25546,"Did not use in the past year (IRCOCRC = 3,9)"
25547,"Did not use in the past year (IRCOCRC = 3,9)"
25548,"Did not use in the past year (IRCOCRC = 3,9)"
25549,"Did not use in the past year (IRCOCRC = 3,9)"
25550,"Did not use in the past year (IRCOCRC = 3,9)"
25551,"Did not use in the past year (IRCOCRC = 3,9)"
25552,"Did not use in the past year (IRCOCRC = 3,9)"
25553,"Did not use in the past year (IRCOCRC = 3,9)"
25554,"Did not use in the past year (IRCOCRC = 3,9)"
25555,"Did not use in the past year (IRCOCRC = 3,9)"
25556,"Did not use in the past year (IRCOCRC = 3,9)"
25557,"Did not use in the past year (IRCOCRC = 3,9)"
25558,"Did not use in the past year (IRCOCRC = 3,9)"
25559,"Did not use in the past year (IRCOCRC = 3,9)"
25560,"Did not use in the past year (IRCOCRC = 3,9)"
25561,"Did not use in the past year (IRCOCRC = 3,9)"
25562,"Did not use in the past year (IRCOCRC = 3,9)"
25563,"Did not use in the past year (IRCOCRC = 3,9)"
25564,"Did not use in the past year (IRCOCRC = 3,9)"
25565,"Did not use in the past year (IRCOCRC = 3,9)"
25566,"Did not use in the past year (IRCOCRC = 3,9)"
25567,"Did not use in the past year (IRCOCRC = 3,9)"
25568,"Did not use in the past year (IRCOCRC = 3,9)"
25569,"Did not use in the past year (IRCOCRC = 3,9)"
25570,"Did not use in the past year (IRCOCRC = 3,9)"
25571,"Did not use in the past year (IRCOCRC = 3,9)"
25572,"Did not use in the past year (IRCOCRC = 3,9)"
25573,"Did not use in the past year (IRCOCRC = 3,9)"
25574,"Did not use in the past year (IRCOCRC = 3,9)"
25575,"Did not use in the past year (IRCOCRC = 3,9)"
25576,"Did not use in the past year (IRCOCRC = 3,9)"
25577,"Did not use in the past year (IRCOCRC = 3,9)"
25578,"Did not use in the past year (IRCOCRC = 3,9)"
25579,"Did not use in the past year (IRCOCRC = 3,9)"
25580,"Did not use in the past year (IRCOCRC = 3,9)"
25581,"Did not use in the past year (IRCOCRC = 3,9)"
25582,"Did not use in the past year (IRCOCRC = 3,9)"
25583,"Did not use in the past year (IRCOCRC = 3,9)"
25584,"Did not use in the past year (IRCOCRC = 3,9)"
25585,"Did not use in the past year (IRCOCRC = 3,9)"
25586,"Did not use in the past year (IRCOCRC = 3,9)"
25587,"Did not use in the past year (IRCOCRC = 3,9)"
25588,"Did not use in the past year (IRCOCRC = 3,9)"
25589,"Did not use in the past year (IRCOCRC = 3,9)"
25590,"Did not use in the past year (IRCOCRC = 3,9)"
25591,"Did not use in the past year (IRCOCRC = 3,9)"
25592,"Did not use in the past year (IRCOCRC = 3,9)"
25593,"Did not use in the past year (IRCOCRC = 3,9)"
25594,"Did not use in the past year (IRCOCRC = 3,9)"
25595,"Did not use in the past year (IRCOCRC = 3,9)"
25596,"Did not use in the past year (IRCOCRC = 3,9)"
25597,"Did not use in the past year (IRCOCRC = 3,9)"
25598,"Did not use in the past year (IRCOCRC = 3,9)"
25599,"Did not use in the past year (IRCOCRC = 3,9)"
25600,"Did not use in the past year (IRCOCRC = 3,9)"
25601,"Did not use in the past year (IRCOCRC = 3,9)"
25602,"Did not use in the past year (IRCOCRC = 3,9)"
25603,"Did not use in the past year (IRCOCRC = 3,9)"
25604,"Did not use in the past year (IRCOCRC = 3,9)"
25605,"Did not use in the past year (IRCOCRC = 3,9)"
25606,"Did not use in the past year (IRCOCRC = 3,9)"
25607,"Did not use in the past year (IRCOCRC = 3,9)"
25608,"Did not use in the past year (IRCOCRC = 3,9)"
25609,"Did not use in the past year (IRCOCRC = 3,9)"
25610,"Did not use in the past year (IRCOCRC = 3,9)"
25611,"Did not use in the past year (IRCOCRC = 3,9)"
25612,"Did not use in the past year (IRCOCRC = 3,9)"
25613,"Did not use in the past year (IRCOCRC = 3,9)"
25614,"Did not use in the past year (IRCOCRC = 3,9)"
25615,"Did not use in the past year (IRCOCRC = 3,9)"
25616,"Did not use in the past year (IRCOCRC = 3,9)"
25617,"Did not use in the past year (IRCOCRC = 3,9)"
25618,"Did not use in the past year (IRCOCRC = 3,9)"
25619,"Did not use in the past year (IRCOCRC = 3,9)"
25620,"Did not use in the past year (IRCOCRC = 3,9)"
25621,"Did not use in the past year (IRCOCRC = 3,9)"
25622,"Did not use in the past year (IRCOCRC = 3,9)"
25623,"Did not use in the past year (IRCOCRC = 3,9)"
25624,"Did not use in the past year (IRCOCRC = 3,9)"
25625,"Did not use in the past year (IRCOCRC = 3,9)"
25626,"Did not use in the past year (IRCOCRC = 3,9)"
25627,"Did not use in the past year (IRCOCRC = 3,9)"
25628,"Did not use in the past year (IRCOCRC = 3,9)"
25629,"Did not use in the past year (IRCOCRC = 3,9)"
25630,"Did not use in the past year (IRCOCRC = 3,9)"
25631,"Did not use in the past year (IRCOCRC = 3,9)"
25632,"Did not use in the past year (IRCOCRC = 3,9)"
25633,"Did not use in the past year (IRCOCRC = 3,9)"
25634,"Did not use in the past year (IRCOCRC = 3,9)"
25635,"Did not use in the past year (IRCOCRC = 3,9)"
25636,"Did not use in the past year (IRCOCRC = 3,9)"
25637,"Did not use in the past year (IRCOCRC = 3,9)"
25638,"Did not use in the past year (IRCOCRC = 3,9)"
25639,"Did not use in the past year (IRCOCRC = 3,9)"
25640,"Did not use in the past year (IRCOCRC = 3,9)"
25641,"Used within the past year (IRCOCRC = 1,2)"
25642,"Did not use in the past year (IRCOCRC = 3,9)"
25643,"Did not use in the past year (IRCOCRC = 3,9)"
25644,"Did not use in the past year (IRCOCRC = 3,9)"
25645,"Did not use in the past year (IRCOCRC = 3,9)"
25646,"Did not use in the past year (IRCOCRC = 3,9)"
25647,"Did not use in the past year (IRCOCRC = 3,9)"
25648,"Did not use in the past year (IRCOCRC = 3,9)"
25649,"Did not use in the past year (IRCOCRC = 3,9)"
25650,"Did not use in the past year (IRCOCRC = 3,9)"
25651,"Did not use in the past year (IRCOCRC = 3,9)"
25652,"Did not use in the past year (IRCOCRC = 3,9)"
25653,"Did not use in the past year (IRCOCRC = 3,9)"
25654,"Did not use in the past year (IRCOCRC = 3,9)"
25655,"Did not use in the past year (IRCOCRC = 3,9)"
25656,"Did not use in the past year (IRCOCRC = 3,9)"
25657,"Did not use in the past year (IRCOCRC = 3,9)"
25658,"Did not use in the past year (IRCOCRC = 3,9)"
25659,"Did not use in the past year (IRCOCRC = 3,9)"
25660,"Did not use in the past year (IRCOCRC = 3,9)"
25661,"Did not use in the past year (IRCOCRC = 3,9)"
25662,"Did not use in the past year (IRCOCRC = 3,9)"
25663,"Did not use in the past year (IRCOCRC = 3,9)"
25664,"Did not use in the past year (IRCOCRC = 3,9)"
25665,"Did not use in the past year (IRCOCRC = 3,9)"
25666,"Did not use in the past year (IRCOCRC = 3,9)"
25667,"Did not use in the past year (IRCOCRC = 3,9)"
25668,"Did not use in the past year (IRCOCRC = 3,9)"
25669,"Did not use in the past year (IRCOCRC = 3,9)"
25670,"Did not use in the past year (IRCOCRC = 3,9)"
25671,"Did not use in the past year (IRCOCRC = 3,9)"
25672,"Did not use in the past year (IRCOCRC = 3,9)"
25673,"Did not use in the past year (IRCOCRC = 3,9)"
25674,"Did not use in the past year (IRCOCRC = 3,9)"
25675,"Did not use in the past year (IRCOCRC = 3,9)"
25676,"Did not use in the past year (IRCOCRC = 3,9)"
25677,"Did not use in the past year (IRCOCRC = 3,9)"
25678,"Did not use in the past year (IRCOCRC = 3,9)"
25679,"Did not use in the past year (IRCOCRC = 3,9)"
25680,"Did not use in the past year (IRCOCRC = 3,9)"
25681,"Did not use in the past year (IRCOCRC = 3,9)"
25682,"Did not use in the past year (IRCOCRC = 3,9)"
25683,"Did not use in the past year (IRCOCRC = 3,9)"
25684,"Did not use in the past year (IRCOCRC = 3,9)"
25685,"Did not use in the past year (IRCOCRC = 3,9)"
25686,"Did not use in the past year (IRCOCRC = 3,9)"
25687,"Did not use in the past year (IRCOCRC = 3,9)"
25688,"Did not use in the past year (IRCOCRC = 3,9)"
25689,"Did not use in the past year (IRCOCRC = 3,9)"
25690,"Did not use in the past year (IRCOCRC = 3,9)"
25691,"Did not use in the past year (IRCOCRC = 3,9)"
25692,"Did not use in the past year (IRCOCRC = 3,9)"
25693,"Did not use in the past year (IRCOCRC = 3,9)"
25694,"Did not use in the past year (IRCOCRC = 3,9)"
25695,"Did not use in the past year (IRCOCRC = 3,9)"
25696,"Did not use in the past year (IRCOCRC = 3,9)"
25697,"Did not use in the past year (IRCOCRC = 3,9)"
25698,"Did not use in the past year (IRCOCRC = 3,9)"
25699,"Did not use in the past year (IRCOCRC = 3,9)"
25700,"Did not use in the past year (IRCOCRC = 3,9)"
25701,"Did not use in the past year (IRCOCRC = 3,9)"
25702,"Did not use in the past year (IRCOCRC = 3,9)"
25703,"Did not use in the past year (IRCOCRC = 3,9)"
25704,"Did not use in the past year (IRCOCRC = 3,9)"
25705,"Did not use in the past year (IRCOCRC = 3,9)"
25706,"Did not use in the past year (IRCOCRC = 3,9)"
25707,"Used within the past year (IRCOCRC = 1,2)"
25708,"Did not use in the past year (IRCOCRC = 3,9)"
25709,"Did not use in the past year (IRCOCRC = 3,9)"
25710,"Did not use in the past year (IRCOCRC = 3,9)"
25711,"Did not use in the past year (IRCOCRC = 3,9)"
25712,"Did not use in the past year (IRCOCRC = 3,9)"
25713,"Did not use in the past year (IRCOCRC = 3,9)"
25714,"Did not use in the past year (IRCOCRC = 3,9)"
25715,"Did not use in the past year (IRCOCRC = 3,9)"
25716,"Did not use in the past year (IRCOCRC = 3,9)"
25717,"Did not use in the past year (IRCOCRC = 3,9)"
25718,"Did not use in the past year (IRCOCRC = 3,9)"
25719,"Did not use in the past year (IRCOCRC = 3,9)"
25720,"Did not use in the past year (IRCOCRC = 3,9)"
25721,"Did not use in the past year (IRCOCRC = 3,9)"
25722,"Did not use in the past year (IRCOCRC = 3,9)"
25723,"Did not use in the past year (IRCOCRC = 3,9)"
25724,"Did not use in the past year (IRCOCRC = 3,9)"
25725,"Did not use in the past year (IRCOCRC = 3,9)"
25726,"Did not use in the past year (IRCOCRC = 3,9)"
25727,"Did not use in the past year (IRCOCRC = 3,9)"
25728,"Did not use in the past year (IRCOCRC = 3,9)"
25729,"Did not use in the past year (IRCOCRC = 3,9)"
25730,"Did not use in the past year (IRCOCRC = 3,9)"
25731,"Did not use in the past year (IRCOCRC = 3,9)"
25732,"Did not use in the past year (IRCOCRC = 3,9)"
25733,"Did not use in the past year (IRCOCRC = 3,9)"
25734,"Did not use in the past year (IRCOCRC = 3,9)"
25735,"Did not use in the past year (IRCOCRC = 3,9)"
25736,"Did not use in the past year (IRCOCRC = 3,9)"
25737,"Did not use in the past year (IRCOCRC = 3,9)"
25738,"Did not use in the past year (IRCOCRC = 3,9)"
25739,"Did not use in the past year (IRCOCRC = 3,9)"
25740,"Did not use in the past year (IRCOCRC = 3,9)"
25741,"Did not use in the past year (IRCOCRC = 3,9)"
25742,"Did not use in the past year (IRCOCRC = 3,9)"
25743,"Did not use in the past year (IRCOCRC = 3,9)"
25744,"Did not use in the past year (IRCOCRC = 3,9)"
25745,"Did not use in the past year (IRCOCRC = 3,9)"
25746,"Did not use in the past year (IRCOCRC = 3,9)"
25747,"Did not use in the past year (IRCOCRC = 3,9)"
25748,"Did not use in the past year (IRCOCRC = 3,9)"
25749,"Did not use in the past year (IRCOCRC = 3,9)"
25750,"Did not use in the past year (IRCOCRC = 3,9)"
25751,"Did not use in the past year (IRCOCRC = 3,9)"
25752,"Did not use in the past year (IRCOCRC = 3,9)"
25753,"Did not use in the past year (IRCOCRC = 3,9)"
25754,"Did not use in the past year (IRCOCRC = 3,9)"
25755,"Did not use in the past year (IRCOCRC = 3,9)"
25756,"Did not use in the past year (IRCOCRC = 3,9)"
25757,"Did not use in the past year (IRCOCRC = 3,9)"
25758,"Did not use in the past year (IRCOCRC = 3,9)"
25759,"Did not use in the past year (IRCOCRC = 3,9)"
25760,"Did not use in the past year (IRCOCRC = 3,9)"
25761,"Did not use in the past year (IRCOCRC = 3,9)"
25762,"Did not use in the past year (IRCOCRC = 3,9)"
25763,"Did not use in the past year (IRCOCRC = 3,9)"
25764,"Did not use in the past year (IRCOCRC = 3,9)"
25765,"Did not use in the past year (IRCOCRC = 3,9)"
25766,"Did not use in the past year (IRCOCRC = 3,9)"
25767,"Did not use in the past year (IRCOCRC = 3,9)"
25768,"Did not use in the past year (IRCOCRC = 3,9)"
25769,"Did not use in the past year (IRCOCRC = 3,9)"
25770,"Did not use in the past year (IRCOCRC = 3,9)"
25771,"Did not use in the past year (IRCOCRC = 3,9)"
25772,"Did not use in the past year (IRCOCRC = 3,9)"
25773,"Did not use in the past year (IRCOCRC = 3,9)"
25774,"Did not use in the past year (IRCOCRC = 3,9)"
25775,"Did not use in the past year (IRCOCRC = 3,9)"
25776,"Did not use in the past year (IRCOCRC = 3,9)"
25777,"Did not use in the past year (IRCOCRC = 3,9)"
25778,"Did not use in the past year (IRCOCRC = 3,9)"
25779,"Did not use in the past year (IRCOCRC = 3,9)"
25780,"Did not use in the past year (IRCOCRC = 3,9)"
25781,"Did not use in the past year (IRCOCRC = 3,9)"
25782,"Did not use in the past year (IRCOCRC = 3,9)"
25783,"Did not use in the past year (IRCOCRC = 3,9)"
25784,"Did not use in the past year (IRCOCRC = 3,9)"
25785,"Did not use in the past year (IRCOCRC = 3,9)"
25786,"Did not use in the past year (IRCOCRC = 3,9)"
25787,"Did not use in the past year (IRCOCRC = 3,9)"
25788,"Did not use in the past year (IRCOCRC = 3,9)"
25789,"Did not use in the past year (IRCOCRC = 3,9)"
25790,"Did not use in the past year (IRCOCRC = 3,9)"
25791,"Did not use in the past year (IRCOCRC = 3,9)"
25792,"Did not use in the past year (IRCOCRC = 3,9)"
25793,"Did not use in the past year (IRCOCRC = 3,9)"
25794,"Did not use in the past year (IRCOCRC = 3,9)"
25795,"Did not use in the past year (IRCOCRC = 3,9)"
25796,"Did not use in the past year (IRCOCRC = 3,9)"
25797,"Did not use in the past year (IRCOCRC = 3,9)"
25798,"Did not use in the past year (IRCOCRC = 3,9)"
25799,"Did not use in the past year (IRCOCRC = 3,9)"
25800,"Did not use in the past year (IRCOCRC = 3,9)"
25801,"Did not use in the past year (IRCOCRC = 3,9)"
25802,"Did not use in the past year (IRCOCRC = 3,9)"
25803,"Did not use in the past year (IRCOCRC = 3,9)"
25804,"Used within the past year (IRCOCRC = 1,2)"
25805,"Did not use in the past year (IRCOCRC = 3,9)"
25806,"Did not use in the past year (IRCOCRC = 3,9)"
25807,"Did not use in the past year (IRCOCRC = 3,9)"
25808,"Did not use in the past year (IRCOCRC = 3,9)"
25809,"Did not use in the past year (IRCOCRC = 3,9)"
25810,"Did not use in the past year (IRCOCRC = 3,9)"
25811,"Did not use in the past year (IRCOCRC = 3,9)"
25812,"Did not use in the past year (IRCOCRC = 3,9)"
25813,"Did not use in the past year (IRCOCRC = 3,9)"
25814,"Did not use in the past year (IRCOCRC = 3,9)"
25815,"Did not use in the past year (IRCOCRC = 3,9)"
25816,"Did not use in the past year (IRCOCRC = 3,9)"
25817,"Did not use in the past year (IRCOCRC = 3,9)"
25818,"Did not use in the past year (IRCOCRC = 3,9)"
25819,"Did not use in the past year (IRCOCRC = 3,9)"
25820,"Did not use in the past year (IRCOCRC = 3,9)"
25821,"Did not use in the past year (IRCOCRC = 3,9)"
25822,"Did not use in the past year (IRCOCRC = 3,9)"
25823,"Did not use in the past year (IRCOCRC = 3,9)"
25824,"Did not use in the past year (IRCOCRC = 3,9)"
25825,"Did not use in the past year (IRCOCRC = 3,9)"
25826,"Did not use in the past year (IRCOCRC = 3,9)"
25827,"Did not use in the past year (IRCOCRC = 3,9)"
25828,"Did not use in the past year (IRCOCRC = 3,9)"
25829,"Did not use in the past year (IRCOCRC = 3,9)"
25830,"Did not use in the past year (IRCOCRC = 3,9)"
25831,"Did not use in the past year (IRCOCRC = 3,9)"
25832,"Did not use in the past year (IRCOCRC = 3,9)"
25833,"Did not use in the past year (IRCOCRC = 3,9)"
25834,"Did not use in the past year (IRCOCRC = 3,9)"
25835,"Did not use in the past year (IRCOCRC = 3,9)"
25836,"Did not use in the past year (IRCOCRC = 3,9)"
25837,"Used within the past year (IRCOCRC = 1,2)"
25838,"Did not use in the past year (IRCOCRC = 3,9)"
25839,"Did not use in the past year (IRCOCRC = 3,9)"
25840,"Did not use in the past year (IRCOCRC = 3,9)"
25841,"Did not use in the past year (IRCOCRC = 3,9)"
25842,"Did not use in the past year (IRCOCRC = 3,9)"
25843,"Did not use in the past year (IRCOCRC = 3,9)"
25844,"Did not use in the past year (IRCOCRC = 3,9)"
25845,"Did not use in the past year (IRCOCRC = 3,9)"
25846,"Did not use in the past year (IRCOCRC = 3,9)"
25847,"Did not use in the past year (IRCOCRC = 3,9)"
25848,"Did not use in the past year (IRCOCRC = 3,9)"
25849,"Did not use in the past year (IRCOCRC = 3,9)"
25850,"Did not use in the past year (IRCOCRC = 3,9)"
25851,"Did not use in the past year (IRCOCRC = 3,9)"
25852,"Did not use in the past year (IRCOCRC = 3,9)"
25853,"Did not use in the past year (IRCOCRC = 3,9)"
25854,"Did not use in the past year (IRCOCRC = 3,9)"
25855,"Did not use in the past year (IRCOCRC = 3,9)"
25856,"Did not use in the past year (IRCOCRC = 3,9)"
25857,"Did not use in the past year (IRCOCRC = 3,9)"
25858,"Did not use in the past year (IRCOCRC = 3,9)"
25859,"Did not use in the past year (IRCOCRC = 3,9)"
25860,"Did not use in the past year (IRCOCRC = 3,9)"
25861,"Did not use in the past year (IRCOCRC = 3,9)"
25862,"Did not use in the past year (IRCOCRC = 3,9)"
25863,"Did not use in the past year (IRCOCRC = 3,9)"
25864,"Did not use in the past year (IRCOCRC = 3,9)"
25865,"Did not use in the past year (IRCOCRC = 3,9)"
25866,"Did not use in the past year (IRCOCRC = 3,9)"
25867,"Did not use in the past year (IRCOCRC = 3,9)"
25868,"Did not use in the past year (IRCOCRC = 3,9)"
25869,"Did not use in the past year (IRCOCRC = 3,9)"
25870,"Did not use in the past year (IRCOCRC = 3,9)"
25871,"Did not use in the past year (IRCOCRC = 3,9)"
25872,"Did not use in the past year (IRCOCRC = 3,9)"
25873,"Did not use in the past year (IRCOCRC = 3,9)"
25874,"Did not use in the past year (IRCOCRC = 3,9)"
25875,"Did not use in the past year (IRCOCRC = 3,9)"
25876,"Did not use in the past year (IRCOCRC = 3,9)"
25877,"Did not use in the past year (IRCOCRC = 3,9)"
25878,"Did not use in the past year (IRCOCRC = 3,9)"
25879,"Did not use in the past year (IRCOCRC = 3,9)"
25880,"Did not use in the past year (IRCOCRC = 3,9)"
25881,"Did not use in the past year (IRCOCRC = 3,9)"
25882,"Did not use in the past year (IRCOCRC = 3,9)"
25883,"Did not use in the past year (IRCOCRC = 3,9)"
25884,"Did not use in the past year (IRCOCRC = 3,9)"
25885,"Did not use in the past year (IRCOCRC = 3,9)"
25886,"Did not use in the past year (IRCOCRC = 3,9)"
25887,"Did not use in the past year (IRCOCRC = 3,9)"
25888,"Did not use in the past year (IRCOCRC = 3,9)"
25889,"Did not use in the past year (IRCOCRC = 3,9)"
25890,"Did not use in the past year (IRCOCRC = 3,9)"
25891,"Did not use in the past year (IRCOCRC = 3,9)"
25892,"Did not use in the past year (IRCOCRC = 3,9)"
25893,"Did not use in the past year (IRCOCRC = 3,9)"
25894,"Did not use in the past year (IRCOCRC = 3,9)"
25895,"Did not use in the past year (IRCOCRC = 3,9)"
25896,"Did not use in the past year (IRCOCRC = 3,9)"
25897,"Did not use in the past year (IRCOCRC = 3,9)"
25898,"Did not use in the past year (IRCOCRC = 3,9)"
25899,"Did not use in the past year (IRCOCRC = 3,9)"
25900,"Did not use in the past year (IRCOCRC = 3,9)"
25901,"Did not use in the past year (IRCOCRC = 3,9)"
25902,"Did not use in the past year (IRCOCRC = 3,9)"
25903,"Did not use in the past year (IRCOCRC = 3,9)"
25904,"Did not use in the past year (IRCOCRC = 3,9)"
25905,"Did not use in the past year (IRCOCRC = 3,9)"
25906,"Did not use in the past year (IRCOCRC = 3,9)"
25907,"Did not use in the past year (IRCOCRC = 3,9)"
25908,"Did not use in the past year (IRCOCRC = 3,9)"
25909,"Did not use in the past year (IRCOCRC = 3,9)"
25910,"Did not use in the past year (IRCOCRC = 3,9)"
25911,"Did not use in the past year (IRCOCRC = 3,9)"
25912,"Did not use in the past year (IRCOCRC = 3,9)"
25913,"Did not use in the past year (IRCOCRC = 3,9)"
25914,"Did not use in the past year (IRCOCRC = 3,9)"
25915,"Did not use in the past year (IRCOCRC = 3,9)"
25916,"Did not use in the past year (IRCOCRC = 3,9)"
25917,"Did not use in the past year (IRCOCRC = 3,9)"
25918,"Did not use in the past year (IRCOCRC = 3,9)"
25919,"Did not use in the past year (IRCOCRC = 3,9)"
25920,"Did not use in the past year (IRCOCRC = 3,9)"
25921,"Did not use in the past year (IRCOCRC = 3,9)"
25922,"Did not use in the past year (IRCOCRC = 3,9)"
25923,"Did not use in the past year (IRCOCRC = 3,9)"
25924,"Did not use in the past year (IRCOCRC = 3,9)"
25925,"Did not use in the past year (IRCOCRC = 3,9)"
25926,"Did not use in the past year (IRCOCRC = 3,9)"
25927,"Did not use in the past year (IRCOCRC = 3,9)"
25928,"Did not use in the past year (IRCOCRC = 3,9)"
25929,"Did not use in the past year (IRCOCRC = 3,9)"
25930,"Did not use in the past year (IRCOCRC = 3,9)"
25931,"Did not use in the past year (IRCOCRC = 3,9)"
25932,"Did not use in the past year (IRCOCRC = 3,9)"
25933,"Did not use in the past year (IRCOCRC = 3,9)"
25934,"Did not use in the past year (IRCOCRC = 3,9)"
25935,"Did not use in the past year (IRCOCRC = 3,9)"
25936,"Did not use in the past year (IRCOCRC = 3,9)"
25937,"Did not use in the past year (IRCOCRC = 3,9)"
25938,"Did not use in the past year (IRCOCRC = 3,9)"
25939,"Did not use in the past year (IRCOCRC = 3,9)"
25940,"Did not use in the past year (IRCOCRC = 3,9)"
25941,"Did not use in the past year (IRCOCRC = 3,9)"
25942,"Did not use in the past year (IRCOCRC = 3,9)"
25943,"Did not use in the past year (IRCOCRC = 3,9)"
25944,"Did not use in the past year (IRCOCRC = 3,9)"
25945,"Did not use in the past year (IRCOCRC = 3,9)"
25946,"Did not use in the past year (IRCOCRC = 3,9)"
25947,"Did not use in the past year (IRCOCRC = 3,9)"
25948,"Did not use in the past year (IRCOCRC = 3,9)"
25949,"Did not use in the past year (IRCOCRC = 3,9)"
25950,"Did not use in the past year (IRCOCRC = 3,9)"
25951,"Did not use in the past year (IRCOCRC = 3,9)"
25952,"Did not use in the past year (IRCOCRC = 3,9)"
25953,"Did not use in the past year (IRCOCRC = 3,9)"
25954,"Did not use in the past year (IRCOCRC = 3,9)"
25955,"Did not use in the past year (IRCOCRC = 3,9)"
25956,"Did not use in the past year (IRCOCRC = 3,9)"
25957,"Did not use in the past year (IRCOCRC = 3,9)"
25958,"Did not use in the past year (IRCOCRC = 3,9)"
25959,"Did not use in the past year (IRCOCRC = 3,9)"
25960,"Did not use in the past year (IRCOCRC = 3,9)"
25961,"Did not use in the past year (IRCOCRC = 3,9)"
25962,"Used within the past year (IRCOCRC = 1,2)"
25963,"Did not use in the past year (IRCOCRC = 3,9)"
25964,"Did not use in the past year (IRCOCRC = 3,9)"
25965,"Did not use in the past year (IRCOCRC = 3,9)"
25966,"Did not use in the past year (IRCOCRC = 3,9)"
25967,"Did not use in the past year (IRCOCRC = 3,9)"
25968,"Did not use in the past year (IRCOCRC = 3,9)"
25969,"Did not use in the past year (IRCOCRC = 3,9)"
25970,"Did not use in the past year (IRCOCRC = 3,9)"
25971,"Did not use in the past year (IRCOCRC = 3,9)"
25972,"Did not use in the past year (IRCOCRC = 3,9)"
25973,"Did not use in the past year (IRCOCRC = 3,9)"
25974,"Did not use in the past year (IRCOCRC = 3,9)"
25975,"Did not use in the past year (IRCOCRC = 3,9)"
25976,"Did not use in the past year (IRCOCRC = 3,9)"
25977,"Did not use in the past year (IRCOCRC = 3,9)"
25978,"Did not use in the past year (IRCOCRC = 3,9)"
25979,"Did not use in the past year (IRCOCRC = 3,9)"
